"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jun 21 16:48:33 GMT+04:00 2026","Sun Jun 21 16:48:34 GMT+04:00 2026","610","tests","test_create_courier","TestCreateCourier","","","Проверка ошибки при создании курьера без логина",""
"passed","Sun Jun 21 16:48:39 GMT+04:00 2026","Sun Jun 21 16:48:40 GMT+04:00 2026","640","tests","test_create_order","TestCreateOrder","","","Проверка создания заказа с разными вариантами цвета",""
"passed","Sun Jun 21 16:49:05 GMT+04:00 2026","Sun Jun 21 16:49:05 GMT+04:00 2026","584","tests","test_login_courier","TestLoginCourier","","","Проверка ошибки авторизации с неверным паролем",""
"passed","Sun Jun 21 16:49:07 GMT+04:00 2026","Sun Jun 21 16:49:07 GMT+04:00 2026","711","tests","test_login_courier","TestLoginCourier","","","Проверка ошибки авторизации несуществующего пользователя",""
"passed","Sun Jun 21 16:48:34 GMT+04:00 2026","Sun Jun 21 16:48:35 GMT+04:00 2026","716","tests","test_create_courier","TestCreateCourier","","","Проверка ошибки при создании курьера без пароля",""
"passed","Sun Jun 21 16:48:40 GMT+04:00 2026","Sun Jun 21 16:48:53 GMT+04:00 2026","12371","tests","test_get_order","TestGetOrders","","","Проверка получения списка заказов",""
"passed","Sun Jun 21 16:48:56 GMT+04:00 2026","Sun Jun 21 16:48:57 GMT+04:00 2026","724","tests","test_login_courier","TestLoginCourier","","","Проверка ошибки авторизации без логина",""
"passed","Sun Jun 21 16:48:31 GMT+04:00 2026","Sun Jun 21 16:48:31 GMT+04:00 2026","642","tests","test_create_courier","TestCreateCourier","","","Проверка, что нельзя создать двух одинаковых курьеров",""
"passed","Sun Jun 21 16:48:59 GMT+04:00 2026","Sun Jun 21 16:49:00 GMT+04:00 2026","738","tests","test_login_courier","TestLoginCourier","","","Проверка ошибки авторизации без пароля",""
"passed","Sun Jun 21 16:48:38 GMT+04:00 2026","Sun Jun 21 16:48:39 GMT+04:00 2026","1072","tests","test_create_order","TestCreateOrder","","","Проверка создания заказа с разными вариантами цвета",""
"passed","Sun Jun 21 16:48:53 GMT+04:00 2026","Sun Jun 21 16:48:54 GMT+04:00 2026","709","tests","test_login_courier","TestLoginCourier","","","Проверка успешной авторизации курьера",""
"passed","Sun Jun 21 16:48:37 GMT+04:00 2026","Sun Jun 21 16:48:38 GMT+04:00 2026","608","tests","test_create_order","TestCreateOrder","","","Проверка создания заказа с разными вариантами цвета",""
"passed","Sun Jun 21 16:48:35 GMT+04:00 2026","Sun Jun 21 16:48:36 GMT+04:00 2026","670","tests","test_create_courier","TestCreateCourier","","","Проверка ошибки при создании курьера с уже существующим логином",""
"passed","Sun Jun 21 16:49:02 GMT+04:00 2026","Sun Jun 21 16:49:02 GMT+04:00 2026","610","tests","test_login_courier","TestLoginCourier","","","Проверка ошибки авторизации с неверным логином",""
"passed","Sun Jun 21 16:48:29 GMT+04:00 2026","Sun Jun 21 16:48:30 GMT+04:00 2026","724","tests","test_create_courier","TestCreateCourier","","","Проверка успешного создания курьера",""
"passed","Sun Jun 21 16:48:40 GMT+04:00 2026","Sun Jun 21 16:48:40 GMT+04:00 2026","634","tests","test_create_order","TestCreateOrder","","","Проверка создания заказа с разными вариантами цвета",""
